Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	IC	284	0.73	0.57	2					Alcohol Control	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	IC	292	0.68	0.51	2					Drinking Identity	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	IC	286	0.68	0.52	2					Alcohol Excitement	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	IC	287	0.65	0.48	2					Alcohol Approach	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	TRR	39	0.27				1 week			Alcohol Control	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	TRR	39	0.7				1 week			Drinking Identity	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	TRR	39	0.49				1 week			Alcohol Excitement	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	IAT	TRR	39	0.45				1 week			Alcohol Approach	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	BIAT	IC	295	0.48	0.32	2					Alcohol Cope	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	BIAT	IC	295	0.59	0.42	2					Stress Drinking	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	BIAT	TRR	39	0.34				1 week			Alcohol Cope	Yes	Search
"Lindgren, K. P., Neighbors, C., Teachman, B. A., Wiers, R. W., Westgate, E., & Greenwald, A. G. (2013). I Drink Therefore I am: Validating Alcohol-related Implicit Association Tests. Psychology of Addictive Behaviors?: Journal of the Society of Psychologists in Addictive Behaviors, 27, 1–13."	1	1	BIAT	TRR	39	0.35				1 week			Stress Drinking	Yes	Search
"Denenny, D., Bentley, E., & Schiffman, J. (2014). Validation of a brief implicit association test of stigma: schizophrenia and dangerousness. Journal of Mental Health, 23, 246–250."	1	1	BIAT	IC	97	0.81		2						Yes	Search
"Denenny, D., Bentley, E., & Schiffman, J. (2014). Validation of a brief implicit association test of stigma: schizophrenia and dangerousness. Journal of Mental Health, 23, 246–250."	1	1	BIAT	TRR	29	0.47				30 minutes				Yes	Search
"Denenny, D., Bentley, E., & Schiffman, J. (2014). Validation of a brief implicit association test of stigma: schizophrenia and dangerousness. Journal of Mental Health, 23, 246–250."	1	1	BIAT	TRR	29	0.35				4 weeks				Yes	Search
"Millner, A. J., Coppersmith, D. D. L., Teachman, B. A., & Nock, M. K. (2018). The Brief Death Implicit Association Test: Scoring recommendations, reliability, validity, and comparisons with the Death Implicit Association Test. Psychological Assessment, 30, 1356–1366."	1	1	IAT	IC	1855	0.86	0.76	2						Yes	Search
"Millner, A. J., Coppersmith, D. D. L., Teachman, B. A., & Nock, M. K. (2018). The Brief Death Implicit Association Test: Scoring recommendations, reliability, validity, and comparisons with the Death Implicit Association Test. Psychological Assessment, 30, 1356–1366."	1	2	BIAT	IC	1161	0.83	0.71	2					4-block scoring	Yes	Search
"Slabbinck, H., Van Witteloostuijn, A., Hermans, J., Vanderstraeten, J., Dejardin, M., Brassey, J., & Ramdani, D. (2018). The added value of implicit motives for management research development and first validation of a brief implicit association test (biat) for the measurement of implicit motives. PLoS ONE, 13. doi:10.1371/journal.pone.0198094"	1	1	BIAT	IC	108	0.79		2					pow-ach	Yes	Search
"Slabbinck, H., Van Witteloostuijn, A., Hermans, J., Vanderstraeten, J., Dejardin, M., Brassey, J., & Ramdani, D. (2018). The added value of implicit motives for management research development and first validation of a brief implicit association test (biat) for the measurement of implicit motives. PLoS ONE, 13. doi:10.1371/journal.pone.0198094"	1	1	BIAT	IC	108	0.77		2					pow-aff	Yes	Search
"Slabbinck, H., Van Witteloostuijn, A., Hermans, J., Vanderstraeten, J., Dejardin, M., Brassey, J., & Ramdani, D. (2018). The added value of implicit motives for management research development and first validation of a brief implicit association test (biat) for the measurement of implicit motives. PLoS ONE, 13. doi:10.1371/journal.pone.0198094"	1	1	BIAT	IC	108	0.78		2					ach-aff	Yes	Search
"Fornara, F., Dentale, F., Troffa, R., & Piras, S. (2016). Measuring Implicit European and Mediterranean Landscape Identity: A Tool Proposal. Frontiers in Psychology, 7. doi:10.3389/fpsyg.2016.01259"	1	1	IAT	IC	174	0.7		2					European IAT	Yes	Search
"Fornara, F., Dentale, F., Troffa, R., & Piras, S. (2016). Measuring Implicit European and Mediterranean Landscape Identity: A Tool Proposal. Frontiers in Psychology, 7. doi:10.3389/fpsyg.2016.01259"	1	1	IAT	IC	174	0.76		2					Mediteranean	Yes	Search
