article,Citation,Study,Sample,ni,yi
De Schryver et al. (2018),"De Schryver, M., Hussey, I., De Neve, J., Cartwright, A., & Barnes-Holmes, D. (2018). The PIIRAP: An alternative scoring algorithm for the IRAP using a probabilistic semiparametric effect size measure. Journal of Contextual Behavioral Science, 7, 97–103.",1,1,188,.29
Pilch et al. (2017),"Pilch, I., & Hyla, M. (2017). Narcissism and self-esteem revisited: The relationships between the subscales of the NPI and explicit/implicit self-esteem. Polish Psychological Bulletin, 48, 264–278.",1,1,49,.81
McKenna et al. (2016),"McKenna, I., Hughes, S., Barnes-Holmes, D., De Schryver, M., Yoder, R., & O’Shea, D. (2016). Obesity, food restriction, and implicit attitudes to healthy and unhealthy foods: Lessons learned from the implicit relational assessment procedure. Appetite, 100, 41–54.",1,1,47,.62
McKenna et al. (2016),"McKenna, I., Hughes, S., Barnes-Holmes, D., De Schryver, M., Yoder, R., & O’Shea, D. (2016). Obesity, food restriction, and implicit attitudes to healthy and unhealthy foods: Lessons learned from the implicit relational assessment procedure. Appetite, 100, 41–54.",2,1,57,.33
McKenna et al. (2016),"McKenna, I., Hughes, S., Barnes-Holmes, D., De Schryver, M., Yoder, R., & O’Shea, D. (2016). Obesity, food restriction, and implicit attitudes to healthy and unhealthy foods: Lessons learned from the implicit relational assessment procedure. Appetite, 100, 41–54.",3,1,74,.48
Drake et al. (2016),"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163.",1,1,25.33333333,.70
Drake et al. (2016),"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163.",1,1,25.33333333,.73
Drake et al. (2016),"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163.",1,1,25.33333333,.63
Drake et al. (2016),"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163.",1,2,25.33333333,.40
Drake et al. (2016),"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163.",1,2,25.33333333,.62
Drake et al. (2016),"Drake, C. E., Seymour, K. H., & Habib, R. (2016). Testing the IRAP: Exploring the Reliability and Fakability of an Idiographic Approach to Interpersonal Attitudes. Psychological Record, 66, 153–163.",1,3,25.33333333,.61
Rönspies et al. (2015),"Rönspies, J., Schmidt, A. F., Melnikova, A., Krumova, R., Zolfagari, A., & Banse, R. (2015). Indirect measurement of sexual orientation: comparison of the Implicit Relational Assessment Procedure, viewing time, and choice reaction time tasks. Archives of Sexual Behavior, 44, 1483–1492.",1,1,118,.78
Barnes-Holmes et al. (2010),"Barnes-Holmes, D., Murphy, A., Barnes-Holmes, Y., & Stewart, I. (2010). The implicit relational assessment procedure: exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white irish individuals. The Psychological Record, 60, 57–79.",1,1,31,.34
Barnes-Holmes et al. (2010),"Barnes-Holmes, D., Murphy, A., Barnes-Holmes, Y., & Stewart, I. (2010). The implicit relational assessment procedure: exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white irish individuals. The Psychological Record, 60, 57–79.",2,1,19,.81
Barnes-Holmes et al. (2010),"Barnes-Holmes, D., Murtagh, L., Barnes-Holmes, Y., & Stewart, I. (2010). Using the implicit association test and the implicit relational assessment procedure to measure attitudes toward meat and vegetables in vegetarians and meat-eaters. The Psychological Record, 60, 287–305.",1,1,32,.72
Barnes-Holmes et al. (2009),"Barnes-Holmes, D., Waldron, D., Barnes-Holmes, Y., & Stewart, I. (2009). Testing the validity of the implicit relational assessment procedure and the implicit association test: measuring attitudes toward dublin and country life in ireland. The Psychological Record, 59, 389–406.",1,1,26,.41
Campbell et al. (2011),"Campbell, C., Barnes-Holmes, Y., Barnes-Holmes, D., & Stewart, I. (2011). Exploring Screen Presentations in the Implicit Relational Assessment Procedure (IRAP). International Journal of Psychology and Psychological Therapy, 11, 377.",1,1,47,.64
Drake et al. (2010),"Drake, C. E., Kellum, K. K., Wilson, K. G., Luoma, J. B., Weinstein, J. H., & Adams, C. H. (2010). Examining the implicit relational assessment procedure: four preliminary studies. The Psychological Record, 60, 81–100.",1,1,58,.60
Juarascio et al. (2011),"Juarascio, A. S., Forman, E. M. ., Timko, C. A., Herbert, J. D., Butryn, M., & Lowe, M. (2011). Implicit internalization of the thin ideal as a predictor of increases in weight, body dissatisfaction, and disordered eating. Eating Behaviors, 12, 207–213.",1,1,79,.84
van der Kaap-Deeder et al. (2018),"van der Kaap-Deeder, J., De Houwer, J., Hughes, S., Spruyt, A., & Vansteenkiste, M. (2018). The development and validation of an implicit measure of competence need satisfaction. Motivation and Emotion, 42, 615–637.",2,1,67,.08
van der Kaap-Deeder et al. (2018),"van der Kaap-Deeder, J., De Houwer, J., Hughes, S., Spruyt, A., & Vansteenkiste, M. (2018). The development and validation of an implicit measure of competence need satisfaction. Motivation and Emotion, 42, 615–637.",2,1,67,.08
Heider et al. (2015),"Heider, N., Spruyt, A., & De Houwer, J. (2015). Implicit beliefs about ideal body image predict body image dissatisfaction. Frontiers in Psychology, 6. doi:10.3389/fpsyg.2015.01402",1,1,48,.32
Heider et al. (2015),"Heider, N., Spruyt, A., & De Houwer, J. (2015). Implicit beliefs about ideal body image predict body image dissatisfaction. Frontiers in Psychology, 6. doi:10.3389/fpsyg.2015.01402",1,1,48,.42
