"articleid"	"citation"	"sampleid"	"study"	"sample"	"measure"	"reliability"	"n"	"estimate"	"ICyi"	"ICvi"	"TRRyi"	"TRRvi"	"splithalf"	"parts"	"parts_provided"	"delay"	"aggregate"	"aggregate_num"	"estimate_notes"	"estimate_searchable"	"source"
1	"Antons, D., Declerck, M., Diener, K., Koch, I., & Piller, F. T. (2017). Assessing the not-invented-here syndrome: Development and validation of implicit and explicit measurements. Journal of Organizational Behavior, 38, 1227–1245."	1	"1"	1	"IAT"	"IC"	88	0.77	1.46967597005894	0.0465116279069767	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Search"
1	"Antons, D., Declerck, M., Diener, K., Koch, I., & Piller, F. T. (2017). Assessing the not-invented-here syndrome: Development and validation of implicit and explicit measurements. Journal of Organizational Behavior, 38, 1227–1245."	2	"3"	1	"IAT"	"IC"	124	0.84	1.83258146374831	0.0327868852459016	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Search"
2	"Back, M. D., Schmukle, S. C., & Egloff, B. (2005). Measuring task-switching ability in the implicit association test. Experimental Psychology, 52, 167–179."	3	"2"	1	"IAT"	"IC"	83	0.84	1.83258146374831	0.0251245397444228	NA	NA	NA	58	NA	NA	NA	NA	"Anxiety, D1 measure. Excluded TSA-IAT for stimuli/categories that deviate too much from standard practice"	"Yes"	"Search"
2	"Back, M. D., Schmukle, S. C., & Egloff, B. (2005). Measuring task-switching ability in the implicit association test. Experimental Psychology, 52, 167–179."	4	"3"	1	"IAT"	"IC"	57	0.73	1.30933331998376	0.0370015948963317	NA	NA	NA	58	NA	NA	NA	NA	"Anxiety, D1 measure. Excluded TSA-IAT for stimuli/categories that deviate too much from standard practice"	"Yes"	"Search"
2	"Back, M. D., Schmukle, S. C., & Egloff, B. (2005). Measuring task-switching ability in the implicit association test. Experimental Psychology, 52, 167–179."	5	"4"	1	"IAT"	"IC"	62	0.74	1.34707364796661	0.0339181286549708	NA	NA	NA	58	NA	NA	NA	NA	"Anxiety, D1 measure. Excluded TSA-IAT for stimuli/categories that deviate too much from standard practice"	"Yes"	"Search"
3	"Banse, R., & Kowalick, C. (2007). Implicit attitudes towards romantic partners predict well-being in stressful life conditions: Evidence from the antenatal maternity ward. International Journal of Psychology, 42, 149–157."	6	"1"	1	"IAT"	"IC"	137	0.83	1.77195684193187	0.0197530864197531	NA	NA	NA	4	NA	NA	NA	NA	NA	"Yes"	"Search"
4	"Banse, R., Imhoff, R., Steffens, M., Schramm, N., Rosch, A., Roberts, M., Stangier, U. (2012). Partner-AMP and well-being: Evidence for an implicit secure base script? Personal Relationships, 20, 140-154. "	7	"1"	1	"AMP"	"IC"	59	0.82	1.71479842809193	0.0356824264049955	NA	NA	NA	60	NA	NA	NA	NA	NA	"Yes"	"Review"
4	"Banse, R., Imhoff, R., Steffens, M., Schramm, N., Rosch, A., Roberts, M., Stangier, U. (2012). Partner-AMP and well-being: Evidence for an implicit secure base script? Personal Relationships, 20, 140-154. "	7	"1"	1	"IAT"	"IC"	59	0.78	1.51412773262978	0.0701754385964912	NA	NA	NA	2	NA	NA	NA	NA	NA	"Yes"	"Review"
4	"Banse, R., Imhoff, R., Steffens, M., Schramm, N., Rosch, A., Roberts, M., Stangier, U. (2012). Partner-AMP and well-being: Evidence for an implicit secure base script? Personal Relationships, 20, 140-154. "	8	"2"	1	"AMP"	"IC"	42	0.89	2.20727491318972	0.0508474576271186	NA	NA	NA	60	NA	NA	NA	NA	NA	"Yes"	"Review"
5	"Banse, R., Seise, J., & Zerbes, N. (2001). Implicit attitudes towards homosexuality: Reliability, validity, and controllability of the IAT. Experimental Psychology, 48, 145–160."	9	"1"	1	"IAT"	"IC"	101	0.85	1.89711998488588	0.0404040404040404	NA	NA	NA	2	NA	NA	NA	NA	"Homos.-IAT 1"	"Yes"	"Search"
