domain,r_pearson,n,r_sb,parts,yi,vi
ADHD,0.37476931234367583,62,0.55,2,0.7985076962177717,0.06666666666666667
Body image,0.32528053784728794,23,0.49,2,0.6733445532637656,0.19047619047619047
Clinton-Trump,0.21666159379095226,98,0.36,2,0.4462871026284195,0.041666666666666664
Countries (1),0.22408333948676262,55,0.37,2,0.4620354595965587,0.07547169811320754
Countries (2),0.2703803116369575,50,0.43,2,0.5621189181535411,0.08333333333333333
Countries (3),0.46220297342684163,31,0.63,2,0.9942522733438669,0.13793103448275862
Countries (4),0.41754800674496445,18,0.59,2,0.8915981192837835,0.25
Death (1),0.6775634766621111,18,0.81,2,1.660731206821651,0.25
Death (2),0.4370244211414635,21,0.61,2,0.941608539858445,0.21052631578947367
Death (3),0.1896965907377083,26,0.32,2,0.3856624808119848,0.16666666666666666
Digust,0.329603205850331,85,0.5,2,0.6931471805599453,0.04819277108433735
Friend-Enemy,0.3382120554419581,100,0.51,2,0.7133498878774648,0.04081632653061224
Gender (1),0.1491481486111789,41,0.26,2,0.3011050927839216,0.10256410256410256
Gender (2),0.4810116445264048,97,0.65,2,1.0498221244986778,0.042105263157894736
Hunger,-0.42871412167030043,11,-0.6,2,-0.47000362924573563,0.4444444444444444
Lincoln-Hitler,0.33369766806909484,134,0.5,2,0.6931471805599453,0.030303030303030304
Personality - Agreeableness,0.40548795035644947,39,0.58,2,0.867500567704723,0.10810810810810811
Personality - Conscientiousness,0.5355410319534893,39,0.7,2,1.203972804325936,0.10810810810810811
Personality - Extraversion,0.19107608609334342,33,0.32,2,0.3856624808119848,0.12903225806451613
Personality - Neuroticism,0.41539486750434984,32,0.59,2,0.8915981192837835,0.13333333333333333
Personality - Openness,0.6824272155524305,35,0.81,2,1.660731206821651,0.12121212121212122
PTSD,0.3913157589379495,54,0.56,2,0.8209805520698303,0.07692307692307693
Race (1),0.24832473939409294,45,0.4,2,0.5108256237659907,0.09302325581395349
Race (2),0.2026464865998847,35,0.34,2,0.41551544396166595,0.12121212121212122
Race (3),0.5491691466183608,36,0.71,2,1.2378743560016172,0.11764705882352941
Religion,0.2651298079740616,31,0.42,2,0.5447271754416719,0.13793103448275862
Rich-Poor,0.3422830090892915,84,0.51,2,0.7133498878774648,0.04878048780487805
Schizophrenia,0.30091490100624446,54,0.46,2,0.616186139423817,0.07692307692307693
Sexuality,0.7057585247992402,19,0.83,2,1.771956841931875,0.23529411764705882
Shapes & colors (1),-0.26560190453925714,11,-0.42,2,-0.35065687161316933,0.4444444444444444
Shapes & colors (2),0.2909610373965371,11,0.45,2,0.5978370007556204,0.4444444444444444
Shapes & colors (3),0.37578292118521883,10,0.55,2,0.7985076962177717,0.5
Shapes & colors (4),0.1341951203870405,7,0.24,2,0.2744368457017603,0.8
Shapes & colors (5),0.4332141026891677,22,0.6,2,0.916290731874155,0.2
Shapes & colors (6),0.09650474896299364,26,0.18,2,0.19845093872383818,0.16666666666666666
Shapes & colors (7),0.382880544406938,14,0.55,2,0.7985076962177717,0.3333333333333333
Valenced words,0.4142901931547414,39,0.59,2,0.8915981192837835,0.10810810810810811
