domain,alpha,alpha_ci_lower,alpha_ci_upper,n,response_option_locations,trials_per_block,parts,yi,vi
Body image,-0.03804313116266293,-0.5221223235811965,0.5446567803886168,16,Moving,24,2,-0.037337336060258464,0.2857142857142857
Clinton-Trump,0.5079684715913121,0.3396276658974812,0.6528842133252342,74,Moving,24,2,0.7092124824115215,0.05555555555555555
Countries (3),0.75446994676575,0.6131331305289518,0.8615875932976281,29,Fixed,24,2,1.4043359228070516,0.14814814814814814
Countries (4),0.6202032281261859,0.3005720217950742,0.833063349259284,16,Fixed,24,2,0.9681189801824265,0.2857142857142857
Death (1),0.5174028690220752,-0.09994931506733494,0.8796817865357262,9,Fixed,24,2,0.7285730707365089,0.5714285714285714
Death (2),0.4879147207657853,-0.020090437991264535,0.7916318706680353,14,Fixed,24,2,0.6692641068080476,0.3333333333333333
Death (3),0.18712495470182477,-0.23404210506681633,0.5678273681769266,23,Fixed,24,2,0.20717787706694207,0.19047619047619047
Death (4),0.6144416058429898,0.371756471612099,0.7985540258042735,28,Fixed,24,2,0.9530626210376684,0.15384615384615385
Disgust (1),0.7017543675280503,0.5385610502860368,0.8320493386086074,31,Fixed,32,2,1.2098378619606223,0.13793103448275862
Friend-Enemy,0.39103481715312927,0.1682088854854597,0.5877328966704191,65,Moving,24,2,0.495994183929766,0.06349206349206349
Gender stereotypes (1),0.18668163355603118,-0.18969836399259754,0.5117292443196731,36,Moving,24,2,0.20663265144546955,0.11764705882352941
Gender stereotypes (2),0.40363126537695254,0.19134860372800055,0.5781163715743778,76,Moving,24,2,0.5168961209683166,0.05405405405405406
Gender stereotypes (3),0.63710788278547,0.5523350152825252,0.7104034728779146,172,Fixed,32,2,1.0136496866454072,0.023529411764705882
Gender stereotypes (4),0.3923664629743907,0.08446276127373273,0.63606818495229,39,Fixed,32,2,0.4981833138890738,0.10810810810810811
Lincoln-Hitler,0.3833658254657546,0.1862607415616987,0.5630567387296505,75,Moving,24,2,0.48347934091050704,0.0547945205479452
Non-words,0.4298227725750004,-0.023656766035027758,0.7372437840988353,21,Fixed,24,2,0.5618080411737804,0.21052631578947367
Personality - Agreeableness,0.4885831911039897,0.1974605126561791,0.7312286397238831,28,Moving,24,2,0.6705703482725369,0.15384615384615385
Personality - Conscientiousness,0.5675670218606835,0.2967658449725818,0.7759181722628773,27,Moving,24,2,0.8383279284580701,0.16
Personality - Extraversion,0.5015476646164835,0.13264065451605142,0.7776940060275298,22,Moving,24,2,0.6962473102329635,0.2
Personality - Neuroticism,0.7595517662255397,0.5673797156866851,0.8900650975895368,18,Moving,24,2,1.4252504567857127,0.25
Personality - Openness,0.73248179808780145,0.2812980588132555,0.9677152631358396,6,Moving,24,2,1.3185676704294165,1
Professor competence,0.40992150731274457,-0.0952102984737262,0.7619486105305988,18,Moving,24,2,0.5274997124782268,0.25
Race (1),0.568148408845401,0.3128422329274467,0.7647996744989467,29,Moving,24,2,0.8396732887550489,0.14814814814814814
Race (2),0.4060456020989709,-0.17880370869044895,0.8051634712157502,12,Fixed,32,2,0.5209527337769411,0.4
Religion,0.06836262796279947,-0.434999852096705,0.5308426708297644,20,Moving,24,2,0.07081162580705971,0.2222222222222222
Rich-Poor,0.14994991869974827,-0.18969629400185414,0.44893781995259796,52,Moving,24,2,0.1624600120566747,0.08
Self-competence (am),0.20452443931453212,-0.13541668906053328,0.48761355672126144,50,Moving,24,2,0.22881515363038168,0.08333333333333333
Self-competence (want to be),0.4176432237405636,0.17084061369812606,0.6258878250926433,49,Moving,24,2,0.5406720014413543,0.0851063829787234
Sexuality (1),0.8549252312922275,0.7515947066911347,0.929801297641571,24,Moving,40,2,1.9305060232009117,0.18181818181818182
Shapes & colors (1),0.37366136159161845,-0.4647344068898408,0.9160803270085398,6,Moving,24,2,0.4678640982220163,1
Shapes & colors (2),0.5597975556664628,0.051529924352721405,0.8656957439138432,11,Moving,24,2,0.8205205571256895,0.4444444444444444
Shapes & colors (3),-0.28772614488968545,-0.9497504084599245,0.9151912391471031,4,Moving,24,2,-0.2528779846479715,2
Shapes & colors (4),0.7175884903496218,0.2253856300727867,0.9616225686235822,6,Moving,24,2,1.264390017641245,1
Stigma - ADHD,0.396349047518461,0.13945176400245704,0.6109703984816454,52,Moving,32,2,0.5047591413344662,0.08
Stigma - PTSD,0.635959856049378,0.46686373846982915,0.7836280607737208,45,Moving,32,2,1.0104911318477718,0.09302325581395349
Stigma - Schizophrenia,0.34850084419647126,0.03649205770289792,0.5955136837875481,44,Moving,32,2,0.42847917819163195,0.09523809523809523
