domain,r_pearson,n,r_sb,parts,yi,vi
Body image,0.39092866312781216,23,0.56,2,0.8209805520698303,0.19047619047619047
Countries (1),0.42880265059231193,45,0.6,2,0.916290731874155,0.09302325581395349
Countries (2),0.46250135618011934,45,0.63,2,0.9942522733438669,0.09302325581395349
Countries (3),0.7046367679946159,28,0.83,2,1.771956841931875,0.15384615384615385
Countries (4),0.4549042450215736,17,0.63,2,0.9942522733438669,0.26666666666666666
Death (1),0.15188207426059758,18,0.26,2,0.3011050927839216,0.25
Death (2),0.6951531142429597,21,0.82,2,1.7147984280919264,0.21052631578947367
Death (3),0.3289971153013978,26,0.5,2,0.6931471805599453,0.16666666666666666
Digust,0.4736952478407457,82,0.64,2,1.0216512475319814,0.05
Friend-Enemy,0.28009520590037135,95,0.44,2,0.579818495252942,0.043010752688172046
Gender,0.12496859878436417,40,0.22,2,0.2484613592984996,0.10526315789473684
Hunger,-0.20451652253130478,11,-0.34,2,-0.29266961396282004,0.4444444444444444
Lincoln-Hitler,0.33785802599041137,131,0.51,2,0.7133498878774648,0.031007751937984496
Race (1),0.3709724675840995,45,0.54,2,0.7765287894989964,0.09302325581395349
Race (2),-0.12423324809035846,35,-0.22,2,-0.19885085874516517,0.12121212121212122
Race (3),0.4604098857063432,36,0.63,2,0.9942522733438669,0.11764705882352941
Religion,0.3361856783707724,30,0.5,2,0.6931471805599453,0.14285714285714285
Sexuality,0.8289542249105782,20,0.91,2,2.4079456086518722,0.2222222222222222
Shapes & colors (1),0.20569585142012367,11,0.34,2,0.41551544396166595,0.4444444444444444
Shapes & colors (2),0.17603830906043158,11,0.3,2,0.35667494393873245,0.4444444444444444
Shapes & colors (3),0.32322361765982666,10,0.49,2,0.6733445532637656,0.5
Shapes & colors (4),0.7137484191828606,7,0.83,2,1.771956841931875,0.8
Shapes & colors (5),0.5776995351194822,22,0.73,2,1.3093333199837622,0.2
Shapes & colors (6),0.06379071205797464,26,0.12,2,0.12783337150988489,0.16666666666666666
Shapes & colors (7),0.43601522631423345,14,0.61,2,0.941608539858445,0.3333333333333333
Valenced words,0.5383771977779518,41,0.7,2,1.203972804325936,0.10256410256410256
